,author1,author2,comp1,comp2,num1,num2,UnifiedDiff,TreeDiff
195,R,R,GSK,GSK,1,2,0.6923076923076923,1.0
196,R,Y,GSK,Tes,2,0,0.7666666666666667,0.75
197,R,Y,GSK,Tes,2,1,0.7333333333333333,0.75
198,R,Y,GSK,Tes,2,2,0.43333333333333335,0.6029411764705882
199,R,Y,GSK,Az,2,0,0.36666666666666664,0.6323529411764706
200,R,Y,GSK,Az,2,1,0.5666666666666667,0.6911764705882353
201,R,Y,GSK,Az,2,2,0.23333333333333334,0.7352941176470589
202,R,J,GSK,Uni,2,0,0.4666666666666667,0.7205882352941176
203,R,J,GSK,Uni,2,1,0.6333333333333333,0.9117647058823529
204,R,J,GSK,Uni,2,2,0.7666666666666667,0.9117647058823529
205,R,R,GSK,HSBC,2,0,0.43333333333333335,0.6911764705882353
206,R,R,GSK,HSBC,2,1,0.6,0.8823529411764706
207,R,R,GSK,HSBC,2,2,0.6,0.8823529411764706
208,R,R,GSK,GSK,2,0,0.43333333333333335,0.6911764705882353
209,R,R,GSK,GSK,2,1,0.6,0.8823529411764706
